薪酬类型,工单级别,统计月份,政策分期小项编码,渠道归属县市,文件路径
营销支撑服务费管理,市级报账(市级工单),202501,13116749,,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-市级报账(市级工单)-202501-13116749.xlsx
营销支撑服务费管理,市级报账(市级工单),202501,13116770,,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-市级报账(市级工单)-202501-13116770.xlsx
营销支撑服务费管理,市级报账(市级工单),202501,13138305,,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-市级报账(市级工单)-202501-13138305.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116747,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116747-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116747,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116747-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116747,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116747-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116748,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116748-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116748,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116748-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116748,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116748-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,海沧,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-海沧.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,翔安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-翔安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116749,集美,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116749-集美.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,海沧,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-海沧.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,翔安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-翔安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116770,集美,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116770-集美.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116774,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116774-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116774,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116774-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116774,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116774-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116775,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116775-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116775,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116775-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13116775,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13116775-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138302,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138302-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138302,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138302-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138303,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138303-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138303,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138303-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138303,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138303-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138304,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138304-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138304,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138304-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138304,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138304-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138305,同安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138305-同安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138305,思明,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138305-思明.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138305,湖里,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138305-湖里.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138305,翔安,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138305-翔安.xlsx
营销支撑服务费管理,县级报账(县级工单),202501,13138305,集美,C:\project\python_project\AI+市场工具&稽核\AI+市场工具&稽核第一期需求\选项目-制表-得出结论\AI稽核-调剂\25年5月6日数据\调剂表数据目录\营销支撑服务费管理-县级报账(县级工单)-202501-13138305-集美.xlsx
